How are you?;;;good;;;5
Where is your girlfriend?;;;She's in an other country!;;;4
juj;;;huh;;;3
Is Julia in an other country?;;;Yes.;;;3
How are you?;;;im fine;;;3
What's good?;;;Nothing...;;;2
what's up?;;;nothing;;;2
What's good?;;;I'm good;;;2
Good!;;;What's good?;;;2
Are you copying me?;;;No.;;;2
How are you?;;;whats good;;;2
huh;;;juj;;;2
What's good?;;;bye;;;2
Hello!;;;How are you?;;;1
How are you?;;;I'm fine... And you?;;;1
Nothing...;;;Are you copying me?;;;1
No.;;;Good!;;;1
hi;;;what's up?;;;1
you do;;;hi;;;1
I'm good;;;good;;;1
I'm good;;;okkay;;;1
okkay;;;Okkay...;;;1
Okkay...;;;Nothing...;;;1
Good!;;;Okkay...;;;1
Nothing...;;;hello;;;1
How are you?;;;fine;;;1
fine;;;mine;;;1
mine;;;hello;;;1
How are you?;;;I'm good;;;1
okkay;;;ok;;;1
I'm good;;;ohh;;;1
ohh;;;huh;;;1
Nothing...;;;okkay;;;1
Okkay...;;;hello;;;1
im fine;;;and you?;;;1
and you?;;;im fine;;;1
and you?;;;juj;;;1
huh;;;Hello!;;;1
How are you?;;;Hi there!;;;1
Hi there!;;;Where is your girlfriend?;;;1
She's in an other country!;;;Is Julia in an other country?;;;1
Yes.;;;Good.;;;1
Good.;;;yes;;;1
Good.;;;bye;;;1
Where is your girlfriend?;;;bye;;;1
Where is your girlfriend?;;;shes in an other c[A;;;1
and you?;;;i said im fine;;;1
i said im fine;;;ok;;;1
ok;;;you didnt say it actually;;;1
you didnt say it actually;;;hm?;;;1
hm?;;;you are boring;;;1
you are boring;;;bye;;;1
and you?;;;bye;;;1
Helloka!!!;;;Hogy vagy?;;;1
Hogy vagy?;;;how are you??;;;1
good;;;great!;;;1
great!;;;bye;;;1
hi howdy;;;time to learn some new materials today, okkay?;;;1
time to learn some new materials today, okkay?;;;bye;;;1
lets start it again;;;okkay;;;1
Okkay...;;;you ready to learn?;;;1
you ready to learn?;;;bye;;;1
